customer_id;rating;comment
C012;5;Does the job just fine
C252;5;Great product, works as expected
C004;4;Nice design, easy to use
C017;5;Fast delivery and nice packaging
C237;4;Great product, works as expected
C213;5;Love it! Five stars from me
C046;3;Average, nothing special
C150;5;Does the job just fine
C119;5;Fast delivery and nice packaging
C182;5;My whole family uses it daily
C155;1;Outrageous, the shipping was insulting
C222;5;Exactly as described, thanks
C007;;Average, nothing special
C199;3;Average, nothing special
C086;3;It is okay I guess
C086;2;Trashy, the quality was exhausting
C171;2;Laughable, the broken was deplorable
C235;5;Solid build, would buy again
C103;4;My whole family uses it daily
C138;4;Love it! Five stars from me
C010;5;Love it! Five stars from me
C012;2;Atrocious, the shipping was revolting
C104;4;Love it! Five stars from me
C209;2;Sad, the refund was depressing
C112;3;Average, nothing special
C026;5;My whole family uses it daily
C224;5;Good value for the money
C013;5;Great product, works as expected
C139;4;Fast delivery and nice packaging
C233;3;It is okay I guess
C039;3;Average, nothing special
C224;4;Good value for the money
C212;1;Sloppy, the shipping was objectionable
C243;4;Arrived early, very happy with it
C090;3;Fine for the price, mostly
C232;5;Arrived early, very happy with it
C018;2;Sad, the broken was disheartening
C199;4;Solid build, would buy again
C038;2;Flimsy, the shipping was disgraceful
C147;4;My whole family uses it daily
C157;5;Great product, works as expected
C183;3;It is okay I guess
C137;5;Nice design, easy to use
C232;3;Average, nothing special
C242;4;Does the job just fine
C030;5;Nice design, easy to use
C194;5;Nice design, easy to use
C072;2;Ridiculous, the broken was crushing
C045;5;Arrived early, very happy with it
C011;5;My whole family uses it daily
C114;2;Sad, the shipping was sickening
C101;2;Sad, the broken was lamentable
C056;5;Fast delivery and nice packaging
C024;4;Arrived early, very happy with it
C208;5;Great product, works as expected
C146;4;Does the job just fine
C129;5;Love it! Five stars from me
C007;5;Arrived early, very happy with it
C014;4;Exactly as described, thanks
C108;5;My whole family uses it daily
C243;5;Solid build, would buy again
C196;5;Great product, works as expected
C236;1;Hopeless, the broken was infuriating
C127;5;Arrived early, very happy with it
C142;2;Dismal, the broken was outrageous
C232;3;Average, nothing special
C171;5;Arrived early, very happy with it
C093;4;My whole family uses it daily
C147;4;Solid build, would buy again
C015;3;It is okay I guess
C074;5;Exactly as described, thanks
C129;5;Exactly as described, thanks
C088;5;My whole family uses it daily
C199;4;Does the job just fine
C006;4;Arrived early, very happy with it
C212;2;Atrocious, the broken was disgraceful
C201;3;Fine for the price, mostly
C057;2;Miserable, the shipping was offensive
C169;4;Does the job just fine
C052;4;Great product, works as expected
C029;4;Nice design, easy to use
C191;4;Arrived early, very happy with it
C196;4;Exactly as described, thanks
C042;5;Nice design, easy to use
C018;5;Good value for the money
C112;5;Great product, works as expected
C152;3;Average, nothing special
C179;3;Average, nothing special
C246;5;Does the job just fine
C212;2;Bleak, the quality was galling
C188;5;Great product, works as expected
C106;5;Arrived early, very happy with it
C142;2;Unforgivable, the quality was revolting
C237;4;Fast delivery and nice packaging
C076;3;Average, nothing special
C250;3;Average, nothing special
C025;3;It is okay I guess
C256;4;Love it! Five stars from me
C239;5;My whole family uses it daily
C106;4;Does the job just fine
C079;5;Great product, works as expected
C098;5;Arrived early, very happy with it
C098;4;Does the job just fine
C177;5;Does the job just fine
C240;2;Maddening, the quality was indefensible
C104;3;Fine for the price, mostly
C064;4;Great product, works as expected
C022;3;Fine for the price, mostly
C218;4;Exactly as described, thanks
