customer_id,rating,comment
C054,4,Does the job just fine
C103,4,Love it! Five stars from me
C059,4,"Exactly as described, thanks"
C159,5,Does the job just fine
C186,2,"Laughable, the refund was unbelievable"
C199,4,Love it! Five stars from me
C215,2,"Horrendous, the quality was outrageous"
C065,5,Love it! Five stars from me
C165,5,"Solid build, would buy again"
C224,4,Fast delivery and nice packaging
C205,4,Fast delivery and nice packaging
C258,4,Does the job just fine
C243,5,"Exactly as described, thanks"
C008,5,Does the job just fine
C046,4,Does the job just fine
C129,3,"Average, nothing special"
C007,4,Good value for the money
C099,1,"Wretched, the refund was unbearable"
C011,4,My whole family uses it daily
C108,5,"Solid build, would buy again"
C002,2,"Bad, the refund was wearying"
C116,5,Does the job just fine
C022,5,"Arrived early, very happy with it"
C073,5,"Nice design, easy to use"
C248,3,It is okay I guess
C057,5,"Great product, works as expected"
C108,5,Fast delivery and nice packaging
C191,4,Fast delivery and nice packaging
C066,4,Love it! Five stars from me
C145,5,Fast delivery and nice packaging
C245,5,Fast delivery and nice packaging
C160,2,"Bogus, the refund was sickening"
C034,2,"Bogus, the broken was aggravating"
C072,3,"Average, nothing special"
C172,4,"Great product, works as expected"
C194,5,"Exactly as described, thanks"
C027,3,It is okay I guess
C188,4,"Arrived early, very happy with it"
C200,4,Good value for the money
C147,4,"Exactly as described, thanks"
C199,5,Does the job just fine
C173,2,"Clumsy, the refund was scandalous"
C021,4,My whole family uses it daily
C127,3,"Average, nothing special"
C138,2,"Careless, the refund was galling"
C242,3,"Average, nothing special"
C075,5,Good value for the money
C140,4,Fast delivery and nice packaging
C117,4,"Exactly as described, thanks"
C055,2,"Outrageous, the shipping was horrifying"
C253,5,Good value for the money
C248,3,It is okay I guess
C073,5,Does the job just fine
C174,5,Love it! Five stars from me
C156,2,"Horrendous, the shipping was unacceptable"
C063,3,"Average, nothing special"
C016,3,"Fine for the price, mostly"
C033,5,"Nice design, easy to use"
C149,5,"Arrived early, very happy with it"
C096,5,"Nice design, easy to use"
C189,2,"Sour, the shipping was regrettable"
C128,4,Good value for the money
C186,3,"Fine for the price, mostly"
C170,5,Fast delivery and nice packaging
C033,5,"Exactly as described, thanks"
C172,4,My whole family uses it daily
C051,5,Does the job just fine
C065,1,"Flimsy, the quality was inexcusable"
C254,5,Good value for the money
C206,3,"Average, nothing special"
C176,4,"Great product, works as expected"
C159,5,"Exactly as described, thanks"
C211,5,Good value for the money
C148,2,"Grim, the refund was grating"
C029,2,"Laughable, the broken was insulting"
C136,5,"Exactly as described, thanks"
C231,4,My whole family uses it daily
C224,2,"Dreadful, the support was inexcusable"
C004,2,"Abysmal, the shipping was vexing"
C183,3,"Average, nothing special"
C140,5,"Nice design, easy to use"
C120,2,"Maddening, the shipping was indefensible"
C113,4,Good value for the money
C190,4,"Solid build, would buy again"
C179,5,"Great product, works as expected"
C223,5,Fast delivery and nice packaging
C222,4,"Nice design, easy to use"
C195,5,Fast delivery and nice packaging
C215,3,"Fine for the price, mostly"
C182,3,"Average, nothing special"
C232,5,"Arrived early, very happy with it"
C107,5,Fast delivery and nice packaging
C137,5,"Great product, works as expected"
C078,3,It is okay I guess
C023,2,"Laughable, the support was egregious"
C053,2,"Ridiculous, the broken was unbearable"
C198,3,"Fine for the price, mostly"
C182,2,"Wretched, the shipping was dispiriting"
C030,4,Does the job just fine
C108,5,Good value for the money
C084,1,"Clumsy, the support was frustrating"
C061,5,"Exactly as described, thanks"
